X	Filt_0	Filt_1	Filt_2	Filt_3	Filt_4	Filt_5	Filt_6	Filt_7	Filt_8	Filt_9	Filt_10	Filt_11	Filt_12	Filt_13	Filt_14	Filt_15	Filt_16	Filt_17	Filt_18	Filt_19	Filt_20	Filt_21	Filt_22	Filt_23	Filt_24	Filt_25	Filt_26	Filt_27	Filt_28	Filt_29	Filt_30	Filt_31	Filt_32	Filt_33	Filt_34	Filt_35	Filt_36	Filt_37	Filt_38	Filt_39	Filt_40	Filt_41	Filt_42	Filt_43	Filt_44	Filt_45	Filt_46	Filt_47	Filt_48	Filt_49
9.0000	-0.202882	-0.195069	-0.267266	-0.123394	-0.128076	-0.160544	-0.294208	-0.096840	-0.275428	-0.262231	-0.233027	-0.112050	-0.163933	-0.215202	-0.128681	-0.218144	-0.253532	-0.280915	-0.314488	-0.122235	-0.175557	-0.120139	-0.210481	-0.158585	-0.156269	-0.269742	-0.258493	-0.098108	-0.180928	-0.260295	-0.137640	-0.081199	-0.171011	-0.223034	-0.150529	-0.105607	-0.269970	-0.237186	-0.165713	-0.243776	-0.117578	-0.280359	-0.181419	-0.227970	-0.342150	-0.195287	-0.242847	-0.198082	-0.237224	-0.083866
10.0000	-0.233179	-0.176489	-0.252874	-0.148125	-0.117676	-0.149373	-0.267926	-0.106911	-0.317072	-0.274879	-0.295285	-0.137489	-0.149682	-0.235923	-0.136558	-0.223370	-0.261627	-0.273623	-0.289771	-0.140192	-0.162566	-0.102657	-0.220844	-0.139003	-0.177688	-0.273690	-0.251807	-0.079575	-0.161508	-0.238263	-0.119434	-0.087330	-0.168898	-0.214890	-0.153757	-0.118293	-0.270420	-0.235945	-0.138263	-0.263095	-0.103128	-0.271651	-0.175858	-0.227024	-0.312316	-0.205758	-0.242111	-0.195395	-0.228049	-0.083607
11.0000	-0.261579	-0.162116	-0.247225	-0.166973	-0.119481	-0.140135	-0.240537	-0.120663	-0.351148	-0.279816	-0.338057	-0.162904	-0.140533	-0.252269	-0.149204	-0.232858	-0.263099	-0.262713	-0.264841	-0.161107	-0.157262	-0.094414	-0.212509	-0.141199	-0.193009	-0.269063	-0.243372	-0.079166	-0.135855	-0.213124	-0.107279	-0.115553	-0.168632	-0.196928	-0.160610	-0.156829	-0.268629	-0.225335	-0.121704	-0.284078	-0.099237	-0.255353	-0.180658	-0.216004	-0.271865	-0.224163	-0.240397	-0.184825	-0.227157	-0.094248
12.0000	-0.287689	-0.152316	-0.254259	-0.177023	-0.129626	-0.138369	-0.219218	-0.139535	-0.375399	-0.277468	-0.357784	-0.188264	-0.140103	-0.261402	-0.164041	-0.242678	-0.260202	-0.248907	-0.245997	-0.181778	-0.158264	-0.091180	-0.189510	-0.158188	-0.201038	-0.257630	-0.233460	-0.097186	-0.109046	-0.192692	-0.107597	-0.155515	-0.168295	-0.167908	-0.168514	-0.211933	-0.259111	-0.205955	-0.117817	-0.302948	-0.107537	-0.237960	-0.192415	-0.197056	-0.224924	-0.248687	-0.242565	-0.170624	-0.231136	-0.109769
13.0000	-0.311380	-0.148435	-0.269765	-0.180240	-0.139118	-0.148812	-0.208179	-0.164626	-0.387746	-0.267524	-0.354814	-0.211175	-0.149642	-0.260852	-0.178246	-0.245790	-0.255195	-0.234757	-0.234788	-0.200751	-0.164672	-0.091123	-0.162022	-0.178700	-0.202953	-0.242516	-0.223679	-0.128393	-0.089658	-0.181520	-0.118974	-0.193480	-0.166735	-0.130309	-0.174374	-0.266948	-0.237861	-0.183275	-0.124968	-0.311484	-0.127651	-0.223348	-0.207652	-0.176157	-0.178047	-0.273735	-0.251670	-0.159193	-0.234548	-0.123366
14.0000	-0.330359	-0.151281	-0.285740	-0.181132	-0.141706	-0.171837	-0.207261	-0.195379	-0.387556	-0.249476	-0.331409	-0.228058	-0.167521	-0.249834	-0.190098	-0.235900	-0.249882	-0.222703	-0.228385	-0.219248	-0.175182	-0.096378	-0.143499	-0.192596	-0.201465	-0.228270	-0.215362	-0.162075	-0.084139	-0.179682	-0.134493	-0.220552	-0.164250	-0.090245	-0.175945	-0.305448	-0.207215	-0.165264	-0.139590	-0.302398	-0.155526	-0.213387	-0.223200	-0.161491	-0.140604	-0.292074	-0.266156	-0.154354	-0.233504	-0.130616
15.0000	-0.341015	-0.159653	-0.296327	-0.184228	-0.137063	-0.201885	-0.213461	-0.226828	-0.375720	-0.224570	-0.292158	-0.236876	-0.189061	-0.231117	-0.199069	-0.211902	-0.245362	-0.213171	-0.222352	-0.237692	-0.186177	-0.109237	-0.144129	-0.191167	-0.200560	-0.219547	-0.208642	-0.186813	-0.093349	-0.183617	-0.148200	-0.234349	-0.162854	-0.054931	-0.172957	-0.319519	-0.175592	-0.156853	-0.157044	-0.278128	-0.185122	-0.209375	-0.236389	-0.158965	-0.121556	-0.300024	-0.280812	-0.154293	-0.227358	-0.131309
16.0000	-0.340994	-0.170019	-0.299345	-0.191793	-0.129042	-0.229690	-0.223223	-0.249055	-0.353385	-0.197608	-0.245252	-0.238071	-0.208624	-0.210113	-0.204254	-0.178572	-0.241360	-0.205849	-0.214809	-0.252425	-0.193187	-0.131352	-0.164811	-0.171138	-0.203305	-0.218156	-0.202769	-0.197162	-0.113027	-0.187680	-0.157378	-0.235506	-0.165246	-0.030418	-0.167390	-0.312155	-0.151581	-0.158755	-0.173133	-0.250143	-0.212136	-0.212324	-0.245616	-0.169200	-0.124844	-0.299806	-0.289605	-0.152310	-0.216919	-0.129470
17.0000	-0.330401	-0.177786	-0.294785	-0.202556	-0.123625	-0.247420	-0.232707	-0.251500	-0.322511	-0.175602	-0.202221	-0.234056	-0.223239	-0.191828	-0.203876	-0.144033	-0.237216	-0.200233	-0.207107	-0.257366	-0.194637	-0.164069	-0.195961	-0.139831	-0.210489	-0.221536	-0.196057	-0.194860	-0.136515	-0.187553	-0.161347	-0.225493	-0.172753	-0.019731	-0.162870	-0.292817	-0.139193	-0.170019	-0.185916	-0.228580	-0.234211	-0.222088	-0.250358	-0.187555	-0.145999	-0.296571	-0.287763	-0.141931	-0.202563	-0.131465
18.0000	-0.311857	-0.179612	-0.283626	-0.213326	-0.125391	-0.252116	-0.237849	-0.229072	-0.287795	-0.163799	-0.174787	-0.228685	-0.233828	-0.178837	-0.197473	-0.116847	-0.233573	-0.195466	-0.201147	-0.248429	-0.191366	-0.203232	-0.223379	-0.111105	-0.221949	-0.224305	-0.186349	-0.184244	-0.157940	-0.184088	-0.160406	-0.206958	-0.183960	-0.023147	-0.163338	-0.271735	-0.137691	-0.188678	-0.196040	-0.216571	-0.248861	-0.237428	-0.250205	-0.206558	-0.174119	-0.293690	-0.273129	-0.123106	-0.185478	-0.142091
19.0000	-0.290623	-0.174821	-0.267121	-0.221619	-0.134627	-0.245569	-0.235780	-0.186239	-0.255629	-0.163504	-0.170293	-0.225872	-0.243405	-0.171468	-0.187325	-0.103384	-0.232133	-0.193147	-0.198333	-0.225907	-0.183668	-0.237726	-0.237707	-0.096374	-0.237330	-0.221007	-0.173822	-0.168746	-0.173873	-0.181689	-0.155426	-0.185492	-0.195373	-0.040485	-0.171790	-0.255915	-0.144161	-0.210875	-0.205339	-0.212237	-0.253379	-0.257206	-0.244940	-0.219677	-0.199394	-0.290638	-0.247649	-0.102420	-0.169750	-0.161823
20.0000	-0.273112	-0.165629	-0.246501	-0.226325	-0.148871	-0.232657	-0.225378	-0.137724	-0.230130	-0.172594	-0.189015	-0.227968	-0.254355	-0.168762	-0.176507	-0.106715	-0.234508	-0.198349	-0.198148	-0.194691	-0.171221	-0.257690	-0.239171	-0.100228	-0.254739	-0.208019	-0.162585	-0.150778	-0.183296	-0.182581	-0.147959	-0.170910	-0.203044	-0.071985	-0.189544	-0.247490	-0.155240	-0.231644	-0.215053	-0.211766	-0.246078	-0.279967	-0.236557	-0.223578	-0.217295	-0.284754	-0.218317	-0.087850	-0.161524	-0.188007
21.0000	-0.263812	-0.156850	-0.224338	-0.227463	-0.165711	-0.219223	-0.207094	-0.102493	-0.211399	-0.186599	-0.223891	-0.235372	-0.266804	-0.169377	-0.166795	-0.126525	-0.241611	-0.215011	-0.196454	-0.163116	-0.154928	-0.260810	-0.235123	-0.119707	-0.269618	-0.184926	-0.157337	-0.131962	-0.187105	-0.186036	-0.140921	-0.174196	-0.203819	-0.115978	-0.215046	-0.245525	-0.167459	-0.247415	-0.224502	-0.211699	-0.227001	-0.302085	-0.229474	-0.217908	-0.226599	-0.274894	-0.194656	-0.085541	-0.165869	-0.217872
22.0000	-0.263808	-0.153909	-0.206233	-0.226505	-0.183169	-0.210011	-0.183559	-0.092771	-0.197663	-0.200418	-0.261902	-0.246575	-0.279253	-0.173251	-0.158927	-0.157922	-0.252847	-0.240808	-0.189161	-0.139971	-0.138390	-0.250271	-0.234214	-0.144937	-0.276970	-0.156076	-0.159248	-0.112769	-0.187757	-0.192258	-0.138333	-0.200144	-0.197102	-0.165924	-0.243081	-0.248379	-0.179143	-0.257530	-0.230989	-0.210394	-0.198806	-0.317944	-0.227339	-0.204609	-0.228611	-0.263623	-0.183512	-0.099660	-0.184291	-0.249626
23.0000	-0.271281	-0.159676	-0.198760	-0.225326	-0.198862	-0.207672	-0.159477	-0.108011	-0.188155	-0.210763	-0.288618	-0.257592	-0.289936	-0.182145	-0.153407	-0.192531	-0.264842	-0.266488	-0.177137	-0.131271	-0.128179	-0.231038	-0.241556	-0.164425	-0.275437	-0.130389	-0.166053	-0.092886	-0.188891	-0.202762	-0.143109	-0.242757	-0.186177	-0.211830	-0.267905	-0.253719	-0.191371	-0.263214	-0.231874	-0.208101	-0.168565	-0.322329	-0.231432	-0.187569	-0.227611	-0.255741	-0.186099	-0.130546	-0.213880	-0.280877
24.0000	-0.282282	-0.173468	-0.203881	-0.224570	-0.209787	-0.212638	-0.140540	-0.137743	-0.183749	-0.217414	-0.294536	-0.262363	-0.297921	-0.196714	-0.150226	-0.223434	-0.271790	-0.280655	-0.165013	-0.138436	-0.131294	-0.208777	-0.257390	-0.172732	-0.267365	-0.117995	-0.174200	-0.072858	-0.193852	-0.217996	-0.155742	-0.289200	-0.176234	-0.245700	-0.287366	-0.259177	-0.204672	-0.265284	-0.227305	-0.206379	-0.146911	-0.311959	-0.242603	-0.171193	-0.227546	-0.254642	-0.198812	-0.171565	-0.248093	-0.306453
25.0000	-0.292229	-0.192707	-0.216911	-0.224013	-0.213334	-0.223549	-0.132206	-0.168648	-0.185035	-0.222368	-0.278898	-0.255975	-0.304655	-0.213478	-0.148521	-0.248301	-0.268968	-0.277226	-0.156964	-0.158166	-0.150181	-0.189836	-0.277792	-0.172249	-0.254785	-0.125619	-0.180483	-0.055854	-0.202897	-0.237157	-0.174654	-0.327825	-0.171149	-0.264917	-0.301399	-0.263110	-0.216952	-0.263400	-0.220510	-0.207482	-0.142446	-0.285970	-0.262156	-0.158200	-0.228738	-0.259943	-0.216231	-0.211017	-0.278872	-0.319310
26.0000	-0.298051	-0.214903	-0.231549	-0.222854	-0.209244	-0.238349	-0.137366	-0.190509	-0.190818	-0.227985	-0.249495	-0.237782	-0.313829	-0.226233	-0.147662	-0.267958	-0.255477	-0.259086	-0.155143	-0.184271	-0.179391	-0.180161	-0.296465	-0.169171	-0.237142	-0.152445	-0.183473	-0.047097	-0.212090	-0.258267	-0.196286	-0.351841	-0.172828	-0.271678	-0.309294	-0.262829	-0.225798	-0.256875	-0.215939	-0.213620	-0.157410	-0.246915	-0.289441	-0.149103	-0.229181	-0.267719	-0.234183	-0.239306	-0.298943	-0.315318
27.0000	-0.298905	-0.238322	-0.244212	-0.219360	-0.201268	-0.254762	-0.154891	-0.198634	-0.199028	-0.235499	-0.218045	-0.210929	-0.328411	-0.230200	-0.148354	-0.283044	-0.233061	-0.234726	-0.160387	-0.210442	-0.207987	-0.182389	-0.308209	-0.170279	-0.212658	-0.188556	-0.184017	-0.051005	-0.216167	-0.276973	-0.216223	-0.359258	-0.182116	-0.271222	-0.310993	-0.255533	-0.230454	-0.244550	-0.217057	-0.225934	-0.187890	-0.201342	-0.319464	-0.143469	-0.227425	-0.273433	-0.250226	-0.253805	-0.303545	-0.297708
28.0000	-0.295255	-0.260582	-0.252739	-0.212467	-0.197233	-0.270080	-0.181924	-0.194053	-0.207991	-0.244310	-0.193574	-0.180620	-0.347410	-0.224460	-0.152250	-0.291838	-0.205513	-0.212510	-0.172526	-0.232490	-0.227011	-0.194321	-0.311214	-0.181805	-0.181559	-0.220000	-0.184083	-0.068711	-0.212370	-0.287759	-0.230995	-0.352828	-0.198743	-0.269986	-0.307478	-0.243320	-0.231401	-0.224975	-0.224424	-0.243710	-0.225142	-0.158978	-0.343448	-0.140798	-0.223871	-0.275751	-0.262076	-0.258424	-0.291592	-0.277109
29.0000	-0.288534	-0.277191	-0.255596	-0.203320	-0.206248	-0.282072	-0.215975	-0.182405	-0.216752	-0.251374	-0.179928	-0.153765	-0.364541	-0.212013	-0.161485	-0.291818	-0.180030	-0.198183	-0.189596	-0.249427	-0.235213	-0.211825	-0.306518	-0.207137	-0.148898	-0.237817	-0.185024	-0.097338	-0.202210	-0.288110	-0.238659	-0.338063	-0.219750	-0.272752	-0.299502	-0.233927	-0.229421	-0.199030	-0.235734	-0.264746	-0.258704	-0.130536	-0.351783	-0.140622	-0.220800	-0.277198	-0.267240	-0.260724	-0.267349	-0.265838
30.0000	-0.281558	-0.282928	-0.253171	-0.193787	-0.233327	-0.290439	-0.253314	-0.171360	-0.225050	-0.251726	-0.177970	-0.137612	-0.370622	-0.198685	-0.177508	-0.283485	-0.164697	-0.194983	-0.206863	-0.262651	-0.237114	-0.232548	-0.296747	-0.243426	-0.123696	-0.242073	-0.186751	-0.131234	-0.191260	-0.281018	-0.238850	-0.319623	-0.239390	-0.279333	-0.288285	-0.234976	-0.225173	-0.171084	-0.247724	-0.286886	-0.281506	-0.123926	-0.338152	-0.143032	-0.221211	-0.281540	-0.264397	-0.268221	-0.241120	-0.269551
31.0000	-0.278241	-0.274812	-0.247403	-0.184957	-0.275389	-0.297256	-0.287434	-0.168041	-0.232704	-0.242062	-0.187955	-0.136358	-0.359383	-0.190774	-0.198504	-0.270874	-0.162251	-0.204134	-0.218419	-0.273837	-0.237311	-0.255984	-0.285111	-0.281539	-0.114907	-0.239436	-0.188473	-0.164737	-0.186403	-0.273481	-0.232786	-0.300062	-0.254591	-0.284543	-0.276367	-0.248167	-0.219359	-0.146201	-0.257533	-0.308934	-0.291896	-0.140417	-0.303553	-0.149487	-0.226739	-0.291486	-0.254617	-0.284596	-0.224109	-0.283532
32.0000	-0.282678	-0.254082	-0.240890	-0.178178	-0.322188	-0.305802	-0.311366	-0.177387	-0.238950	-0.223949	-0.209899	-0.148937	-0.332250	-0.192316	-0.219761	-0.258490	-0.168341	-0.225677	-0.222324	-0.283434	-0.237975	-0.281216	-0.274458	-0.310641	-0.128491	-0.239221	-0.190186	-0.194466	-0.191230	-0.272783	-0.223114	-0.281121	-0.269304	-0.282705	-0.266420	-0.267801	-0.213124	-0.128480	-0.263752	-0.329724	-0.292035	-0.172649	-0.257399	-0.162446	-0.236332	-0.307450	-0.242124	-0.307731	-0.220451	-0.297347
33.0000	-0.297428	-0.226844	-0.236906	-0.175811	-0.360925	-0.317522	-0.321180	-0.199945	-0.243125	-0.202870	-0.241973	-0.169649	-0.298742	-0.204129	-0.237632	-0.248989	-0.177390	-0.258102	-0.222817	-0.290399	-0.238573	-0.306005	-0.266546	-0.322902	-0.165540	-0.248338	-0.193446	-0.219368	-0.203516	-0.282682	-0.213607	-0.264953	-0.287882	-0.271851	-0.259522	-0.284386	-0.207944	-0.121908	-0.267548	-0.346904	-0.285971	-0.206077	-0.213052	-0.183878	-0.246887	-0.326567	-0.233740	-0.331504	-0.226420	-0.303086
34.0000	-0.320315	-0.202450	-0.238934	-0.180415	-0.381313	-0.329794	-0.316863	-0.230365	-0.245057	-0.185766	-0.277516	-0.191379	-0.272030	-0.224669	-0.251499	-0.242207	-0.187605	-0.295220	-0.225000	-0.292631	-0.236386	-0.327262	-0.261674	-0.315667	-0.219687	-0.266136	-0.200970	-0.238957	-0.217040	-0.301489	-0.208828	-0.253655	-0.307248	-0.254800	-0.254809	-0.290691	-0.205039	-0.128861	-0.271514	-0.357582	-0.277779	-0.226195	-0.180839	-0.213407	-0.255314	-0.342946	-0.235038	-0.349665	-0.236520	-0.299759
35.0000	-0.342326	-0.189620	-0.249188	-0.194498	-0.379488	-0.337773	-0.301109	-0.260501	-0.244720	-0.178461	-0.303944	-0.209841	-0.262208	-0.250436	-0.262107	-0.235770	-0.199195	-0.323727	-0.229655	-0.287835	-0.230363	-0.340084	-0.259073	-0.292543	-0.277041	-0.285413	-0.215431	-0.252534	-0.225602	-0.323529	-0.213705	-0.247795	-0.320690	-0.238245	-0.250326	-0.285062	-0.205147	-0.148040	-0.276734	-0.360092	-0.270090	-0.227816	-0.165132	-0.246712	-0.260751	-0.349768	-0.246800	-0.357995	-0.247607	-0.291774
36.0000	-0.351365	-0.193641	-0.266593	-0.219922	-0.359056	-0.338178	-0.277777	-0.284806	-0.244706	-0.182800	-0.308272	-0.225447	-0.271820	-0.276124	-0.269437	-0.228090	-0.212368	-0.327984	-0.234973	-0.274507	-0.224502	-0.336952	-0.257789	-0.263101	-0.321863	-0.298956	-0.237649	-0.260270	-0.226464	-0.342186	-0.231446	-0.246075	-0.324587	-0.228995	-0.244937	-0.270894	-0.208712	-0.176637	-0.281979	-0.354700	-0.263920	-0.216985	-0.166201	-0.276436	-0.264884	-0.343131	-0.265659	-0.354883	-0.258624	-0.284236
37.0000	-0.341337	-0.215904	-0.285521	-0.255343	-0.328471	-0.331240	-0.250925	-0.301787	-0.252010	-0.196762	-0.286062	-0.241836	-0.295309	-0.296747	-0.272317	-0.219752	-0.228751	-0.301222	-0.240042	-0.253476	-0.225566	-0.312978	-0.256809	-0.238798	-0.344372	-0.303516	-0.264917	-0.263637	-0.221877	-0.351585	-0.259986	-0.246369	-0.318961	-0.229731	-0.241040	-0.254462	-0.215743	-0.212474	-0.285425	-0.343508	-0.259338	-0.204061	-0.182316	-0.295917	-0.269716	-0.325683	-0.286058	-0.341924	-0.269963	-0.279171
38.0000	-0.317916	-0.253334	-0.297709	-0.295376	-0.297385	-0.321236	-0.225010	-0.311768	-0.271987	-0.217402	-0.243898	-0.263011	-0.322406	-0.310405	-0.269511	-0.211575	-0.250775	-0.252250	-0.245189	-0.230787	-0.238610	-0.274063	-0.254922	-0.227033	-0.344388	-0.299011	-0.291367	-0.264373	-0.217375	-0.347532	-0.291533	-0.246562	-0.306597	-0.239396	-0.243600	-0.241961	-0.225078	-0.251814	-0.285891	-0.330723	-0.256116	-0.196745	-0.209607	-0.301808	-0.275618	-0.305095	-0.301806	-0.323591	-0.284357	-0.275671
39.0000	-0.294180	-0.297513	-0.296749	-0.334208	-0.274075	-0.315890	-0.204674	-0.315370	-0.301180	-0.242329	-0.195094	-0.290791	-0.343831	-0.318035	-0.260838	-0.203548	-0.278621	-0.199986	-0.251134	-0.219102	-0.264207	-0.234958	-0.251562	-0.228864	-0.329617	-0.286237	-0.310953	-0.263529	-0.217845	-0.328966	-0.317394	-0.244769	-0.292201	-0.255616	-0.254504	-0.236863	-0.234015	-0.288643	-0.283183	-0.321680	-0.254094	-0.198846	-0.241093	-0.294011	-0.281856	-0.287713	-0.308174	-0.305802	-0.305371	-0.271931
40.0000	-0.281079	-0.337193	-0.281578	-0.368989	-0.263250	-0.321706	-0.193421	-0.313893	-0.330337	-0.268276	-0.154948	-0.323882	-0.354879	-0.320783	-0.247620	-0.196086	-0.309436	-0.161673	-0.258219	-0.231489	-0.296986	-0.207990	-0.247470	-0.241169	-0.310822	-0.265360	-0.321192	-0.261369	-0.224933	-0.298381	-0.333228	-0.239665	-0.279758	-0.275449	-0.270495	-0.239099	-0.239341	-0.317982	-0.279088	-0.319126	-0.253411	-0.211745	-0.268546	-0.275257	-0.288010	-0.274765	-0.303954	-0.294176	-0.332325	-0.266423
41.0000	-0.282463	-0.363928	-0.257417	-0.398274	-0.265312	-0.337523	-0.192476	-0.309810	-0.352473	-0.289535	-0.135817	-0.358516	-0.355617	-0.319548	-0.232625	-0.191602	-0.339184	-0.145768	-0.265425	-0.270819	-0.326205	-0.197178	-0.244039	-0.259196	-0.296745	-0.236650	-0.324436	-0.258178	-0.236350	-0.261160	-0.340557	-0.231674	-0.270963	-0.296148	-0.286915	-0.245298	-0.239013	-0.337344	-0.277822	-0.321038	-0.254645	-0.234663	-0.286840	-0.251707	-0.294283	-0.263490	-0.292032	-0.291463	-0.359328	-0.259134
42.0000	-0.295779	-0.374894	-0.233772	-0.419104	-0.278137	-0.355090	-0.199792	-0.306343	-0.364761	-0.299976	-0.141996	-0.389748	-0.349678	-0.316017	-0.219467	-0.194453	-0.364382	-0.151762	-0.270605	-0.326904	-0.339584	-0.200874	-0.242407	-0.277221	-0.292164	-0.203768	-0.325163	-0.255635	-0.246173	-0.224975	-0.345416	-0.223668	-0.265985	-0.315788	-0.300473	-0.250209	-0.233045	-0.345500	-0.283310	-0.323558	-0.258595	-0.264024	-0.295558	-0.232730	-0.300706	-0.249515	-0.277544	-0.295146	-0.380474	-0.252866
