X	Raw_0	Raw_1	Raw_2	Raw_3	Raw_4	Raw_5	Raw_6	Raw_7	Raw_8	Raw_9	Raw_10	Raw_11	Raw_12	Raw_13	Raw_14	Raw_15	Raw_16	Raw_17	Raw_18	Raw_19	Raw_20	Raw_21	Raw_22	Raw_23	Raw_24	Raw_25	Raw_26	Raw_27	Raw_28	Raw_29	Raw_30	Raw_31	Raw_32	Raw_33	Raw_34	Raw_35	Raw_36	Raw_37	Raw_38	Raw_39	Raw_40	Raw_41	Raw_42	Raw_43	Raw_44	Raw_45	Raw_46	Raw_47	Raw_48	Raw_49
9.0000	-0.107588	-0.208234	-0.181759	-0.257034	-0.031907	-0.246699	-0.479450	-0.066178	-0.211206	-0.225850	-0.326674	-0.135012	0.035269	-0.219617	-0.106353	-0.200427	-0.279556	-0.456146	-0.376066	-0.041570	-0.245740	-0.086915	-0.239468	-0.046920	-0.210893	-0.263781	-0.263267	-0.100761	-0.200422	-0.309023	0.029830	0.022731	-0.115518	-0.347717	-0.139355	-0.134108	-0.249889	-0.244849	-0.246691	-0.268841	-0.102669	-0.228709	-0.173001	-0.231058	-0.131936	-0.223015	-0.257148	-0.226152	-0.013443	-0.067175
10.0000	-0.260743	-0.261081	-0.152272	-0.096290	0.061358	-0.121635	-0.263261	-0.371981	-0.323003	-0.283366	0.045475	-0.165925	-0.185032	-0.070643	-0.124515	-0.236575	-0.250172	-0.525801	-0.235346	-0.401241	-0.145826	-0.211917	-0.338033	-0.328439	0.211238	-0.291719	-0.264334	-0.046879	-0.331464	-0.266079	0.039622	-0.073429	-0.170401	-0.270155	-0.178501	-0.016746	-0.176718	-0.348193	-0.107869	-0.092521	-0.047139	-0.404323	-0.212091	-0.283635	-0.286576	-0.197313	-0.163213	-0.255180	-0.191987	0.107481
11.0000	-0.263380	-0.184744	-0.329168	-0.422503	-0.262353	-0.259308	-0.086407	-0.105331	-0.405401	-0.270071	-0.358691	0.025709	-0.127070	-0.309131	-0.317368	-0.181969	-0.301678	-0.159518	-0.152895	-0.105431	-0.163119	0.106366	-0.247835	0.027552	-0.296359	-0.343782	-0.347340	-0.051637	-0.226981	0.068209	-0.162338	-0.242512	-0.100790	-0.184905	-0.090677	-0.030574	-0.435733	-0.075358	0.114594	-0.225713	-0.074796	-0.210456	-0.003776	-0.245436	-0.439534	-0.098374	-0.388012	-0.236299	-0.260003	0.079022
12.0000	-0.159547	0.156359	-0.100052	-0.204527	-0.034039	-0.020895	-0.169753	-0.033002	-0.457418	-0.164078	-0.368214	-0.326664	-0.053108	-0.261885	-0.173436	-0.340941	-0.218763	-0.280075	-0.130820	-0.226685	0.089150	-0.024845	-0.326016	-0.065031	-0.278337	-0.267468	-0.209625	-0.034798	-0.017290	0.164885	-0.342426	0.101966	-0.178444	-0.114591	-0.148911	-0.509273	-0.412669	0.124801	-0.105030	-0.499584	-0.221612	-0.233846	-0.285246	-0.068394	-0.140446	0.033763	-0.095248	-0.116036	-0.424683	-0.147385
13.0000	-0.485185	-0.137446	-0.447421	-0.075420	-0.203969	-0.112926	-0.223580	-0.169183	-0.180340	-0.273655	-0.439664	0.105348	-0.351367	-0.231446	-0.143572	0.041376	0.028045	-0.281156	-0.274477	-0.185768	-0.499797	-0.213426	-0.122172	-0.306595	-0.078711	-0.142239	-0.224467	-0.292819	-0.042573	-0.165611	0.062567	-0.431148	-0.218082	-0.496030	-0.188332	-0.377586	-0.143905	-0.302073	-0.127297	-0.436448	-0.220187	-0.565698	-0.141094	-0.485120	-0.524102	-0.390867	-0.253561	-0.127127	-0.115374	-0.174498
14.0000	-0.459313	-0.064115	-0.210488	-0.180498	-0.226470	-0.110636	-0.181216	-0.323368	-0.429373	-0.388086	-0.273833	-0.242891	-0.129555	-0.372981	-0.199499	-0.421238	-0.290180	-0.096196	-0.273174	-0.309801	-0.588935	-0.272916	0.041824	-0.449634	-0.169455	-0.190966	-0.138676	-0.245256	-0.055380	-0.270291	-0.077437	-0.411109	-0.225050	-0.004692	-0.240831	-0.159404	-0.320191	-0.379382	-0.120955	-0.092272	0.151791	0.089466	-0.471039	0.066019	-0.001215	-0.338015	-0.069379	0.113632	-0.317636	-0.280397
15.0000	-0.287333	-0.233359	-0.384642	-0.135994	-0.070441	-0.279058	-0.276337	-0.065028	-0.373062	-0.286839	-0.306412	-0.385706	-0.243136	-0.316438	-0.515962	-0.295091	-0.276141	-0.026974	-0.184441	0.059231	0.106342	-0.002286	-0.079086	0.142785	-0.266614	-0.268722	-0.159835	-0.087635	-0.062610	-0.379574	-0.339716	-0.215557	-0.039313	-0.009146	-0.190796	-0.457553	-0.041810	-0.052017	-0.363968	-0.448574	-0.060507	-0.191401	-0.188173	-0.130414	0.094972	-0.332876	-0.295980	-0.433508	-0.185362	-0.091366
16.0000	-0.357360	-0.196301	-0.303211	-0.237426	-0.107587	-0.240889	-0.497619	-0.188348	-0.238141	-0.154427	-0.394683	-0.107410	-0.078420	-0.179553	-0.181362	-0.064937	-0.136469	-0.246317	-0.429838	-0.049426	-0.092421	-0.054299	0.208943	-0.236967	-0.061379	0.018891	-0.235008	-0.284544	-0.139926	-0.135155	-0.154058	0.132670	-0.101195	-0.269155	-0.132747	-0.363581	-0.171645	-0.157728	-0.188096	-0.093112	-0.343709	-0.571044	-0.244018	-0.211785	-0.402299	-0.207321	-0.306553	0.058250	-0.258568	-0.099369
17.0000	-0.160776	-0.110838	-0.200803	-0.038552	-0.444371	-0.386100	-0.090355	-0.459079	-0.603734	-0.107191	0.090559	-0.264511	-0.526997	-0.027541	0.123967	-0.201560	-0.234136	-0.259002	-0.063997	-0.318878	-0.293618	-0.419477	-0.440955	-0.322322	-0.214085	-0.509508	-0.433826	-0.208679	-0.147732	0.059523	-0.163400	-0.238263	-0.147201	0.198080	-0.167791	0.006132	-0.116898	-0.157673	-0.212378	-0.189197	-0.192914	-0.170843	-0.385250	-0.071888	-0.050045	-0.267880	-0.349732	-0.238584	-0.082186	-0.317321
18.0000	-0.346625	-0.191507	-0.339483	-0.222483	0.011060	-0.263373	-0.049752	-0.344849	-0.093574	-0.111208	-0.130939	0.093450	-0.225285	-0.162849	-0.264427	-0.128039	-0.409799	-0.135399	-0.017613	-0.410613	-0.184681	-0.047548	-0.286326	-0.002475	-0.217650	-0.164501	-0.049834	-0.150606	-0.173708	-0.247522	-0.305940	-0.237908	-0.197096	-0.026265	-0.153297	-0.291656	0.001183	0.027805	-0.162183	-0.235964	-0.260692	-0.240929	-0.150646	-0.428196	-0.158056	-0.110457	-0.302574	-0.224009	-0.234006	-0.102453
19.0000	-0.424806	-0.497567	-0.270644	-0.282778	-0.005947	-0.368447	-0.322184	-0.291905	-0.574444	-0.149289	-0.151125	-0.277896	-0.303383	-0.219840	-0.322172	0.017014	-0.222139	-0.416501	-0.306797	-0.270811	-0.176478	-0.236116	-0.354414	-0.071096	-0.178373	-0.234374	-0.225717	-0.095183	-0.275493	-0.569810	-0.160744	-0.429247	-0.295283	-0.036793	-0.011552	-0.106416	-0.259417	-0.417933	-0.195484	-0.225182	-0.233261	-0.410625	-0.323803	-0.312666	-0.287966	-0.311434	-0.333175	-0.084150	-0.221799	-0.061707
20.0000	0.004316	-0.023450	-0.064587	-0.082553	-0.309365	-0.018571	-0.238156	0.010342	-0.227137	-0.240745	0.022844	-0.168364	-0.150691	-0.340221	-0.159529	-0.064961	-0.230365	-0.182058	-0.275296	-0.150355	-0.304859	-0.344668	-0.031126	-0.038111	-0.475649	-0.361058	-0.203584	-0.482183	-0.202976	-0.115023	-0.049603	-0.073641	-0.261544	-0.037398	-0.175756	-0.219756	-0.301704	-0.424693	-0.158576	-0.138317	-0.399955	-0.169135	0.044297	-0.233692	-0.283537	-0.348768	-0.150319	-0.087670	-0.142669	-0.383778
21.0000	-0.251999	-0.310402	-0.304666	-0.428906	-0.158762	-0.210552	-0.253682	-0.018605	-0.215879	-0.157395	-0.179693	-0.431971	-0.147625	-0.053858	-0.171275	-0.197511	-0.071780	-0.135349	-0.031635	-0.182101	-0.196865	-0.515013	-0.251215	-0.232908	-0.457120	-0.163464	0.021942	-0.110920	-0.185792	-0.070322	-0.262569	-0.075156	-0.058431	-0.044325	-0.315482	-0.320123	-0.087377	-0.242389	-0.264852	-0.394755	-0.279921	-0.359455	-0.583205	-0.013298	-0.119960	-0.332603	-0.061066	-0.044639	0.097909	-0.189645
22.0000	-0.210635	0.095934	-0.095410	-0.145609	-0.146659	-0.195189	-0.168070	-0.021719	-0.140055	-0.227114	-0.333066	-0.098827	-0.326908	-0.155738	-0.041854	0.092638	-0.366587	-0.118729	-0.239222	-0.032794	-0.167542	-0.261101	-0.192336	0.061394	-0.057729	-0.253726	-0.084530	-0.255822	-0.125788	-0.458641	-0.039523	-0.102403	-0.075188	-0.224050	-0.088223	-0.470395	-0.144337	-0.211253	-0.211972	-0.214420	0.050970	-0.191809	-0.183525	-0.227738	-0.226756	-0.203410	-0.162584	-0.014547	-0.087497	-0.230623
23.0000	-0.437138	-0.120398	-0.392882	-0.379798	-0.184325	-0.257198	0.030058	-0.188572	-0.229678	-0.206461	-0.478457	-0.340034	-0.330252	-0.329435	-0.412106	-0.317676	-0.076078	-0.513939	-0.135189	-0.104938	0.078904	-0.225260	-0.128373	-0.420018	-0.324970	-0.036365	-0.156458	-0.117307	-0.208387	-0.196953	-0.486729	-0.317809	-0.320711	-0.241570	-0.428355	-0.188430	-0.251525	-0.276668	-0.407600	-0.394351	-0.136564	-0.328652	-0.217021	-0.155917	-0.612557	-0.078837	-0.235039	-0.229400	-0.236717	-0.224234
24.0000	-0.307775	-0.215471	-0.146647	-0.034428	-0.308663	-0.196480	-0.052148	-0.089078	0.076569	-0.367016	-0.346876	-0.122118	-0.242717	-0.091320	-0.116410	-0.241164	-0.240792	-0.340320	-0.239963	-0.080682	-0.081599	0.011982	-0.444335	-0.308925	-0.246060	-0.095907	-0.226463	-0.109577	0.089657	-0.158433	0.106623	-0.332123	-0.211129	-0.367653	-0.388329	-0.007926	-0.017398	0.142996	-0.274103	-0.201570	-0.599791	-0.361954	-0.268247	-0.314554	0.084835	-0.232782	-0.153084	-0.017973	-0.225637	-0.369015
25.0000	-0.212200	-0.162939	-0.012603	-0.267992	-0.329581	0.140894	-0.285375	-0.399955	-0.196390	-0.222257	-0.003026	-0.293090	-0.363334	-0.144901	-0.140275	-0.233404	-0.395029	-0.360577	0.004608	-0.179810	0.032061	-0.085253	-0.322040	-0.170356	0.013028	0.057082	-0.230585	0.012349	-0.410310	-0.239804	-0.220235	-0.422806	-0.154068	-0.315444	-0.178461	-0.326567	-0.260675	-0.275374	-0.020213	-0.131866	-0.046329	-0.231168	-0.308223	-0.155812	-0.163862	-0.312562	-0.234301	-0.323211	-0.307567	-0.502821
26.0000	-0.404236	-0.247862	-0.602334	-0.211340	-0.235420	-0.276608	-0.150218	-0.230567	-0.073545	-0.174787	-0.419888	-0.538627	-0.105290	-0.353617	-0.252909	-0.246950	-0.427904	-0.216604	-0.158075	-0.439982	-0.433123	-0.319020	-0.081997	-0.056371	-0.244767	-0.304085	-0.195570	-0.028569	-0.118416	-0.350203	-0.070634	-0.219006	-0.166610	-0.278222	-0.154128	-0.221297	-0.226671	-0.314196	-0.183766	-0.206695	-0.068143	-0.474901	-0.221293	0.019999	-0.239389	-0.386243	-0.227301	-0.277382	-0.374087	-0.344900
27.0000	-0.178010	-0.307329	-0.353899	-0.172479	-0.058455	-0.331926	-0.046211	-0.166620	-0.342884	-0.183195	-0.181395	-0.214686	-0.289746	-0.249571	-0.183561	-0.394746	0.055794	-0.162253	-0.152216	-0.263719	-0.286444	-0.175963	-0.316578	-0.135191	-0.265878	-0.024881	-0.173328	-0.032379	-0.240551	-0.081974	-0.201573	-0.396426	-0.170542	-0.224545	-0.421122	-0.462333	-0.231181	-0.215713	-0.237503	-0.143074	-0.294366	-0.246745	-0.075036	-0.085035	-0.342128	-0.015119	-0.280360	-0.261667	-0.317277	-0.368683
28.0000	-0.327265	-0.206029	-0.150608	-0.526621	-0.155629	-0.157715	-0.175917	-0.398404	-0.219055	-0.430297	-0.082080	-0.224204	-0.673217	-0.311085	-0.082750	-0.474716	-0.261156	-0.012662	-0.152223	-0.078155	-0.200832	-0.113231	-0.494215	-0.249599	-0.102757	-0.412047	0.019542	-0.020618	-0.236847	-0.297676	-0.360697	-0.413781	-0.403980	0.002576	-0.294591	-0.337995	-0.377358	-0.091536	0.047250	-0.342171	-0.129579	-0.138581	-0.487997	-0.249387	-0.265513	-0.501313	-0.111680	-0.316163	-0.352991	-0.184185
29.0000	-0.283753	-0.107251	-0.270456	-0.337587	-0.295591	-0.618857	-0.240704	-0.208512	-0.007864	-0.225560	-0.197198	-0.107839	-0.296223	0.155031	-0.109152	-0.177419	-0.099524	-0.314244	-0.323266	-0.247728	-0.528164	-0.227106	-0.375339	-0.311271	-0.329739	-0.256595	0.130991	-0.196292	-0.361886	-0.462777	-0.245456	-0.303553	-0.415722	-0.555373	-0.330912	-0.188867	-0.228361	-0.348813	-0.444125	-0.249326	-0.368909	-0.049408	-0.360897	-0.138676	-0.049621	-0.267910	-0.624889	-0.231021	-0.141994	-0.184572
30.0000	-0.333111	-0.312534	-0.187183	-0.086323	-0.127100	-0.233261	-0.175955	0.010141	-0.278509	-0.459438	-0.183007	-0.009455	-0.398636	-0.163093	-0.414308	-0.337876	-0.499073	-0.317491	-0.312341	-0.167391	-0.065576	-0.330928	-0.285795	-0.066828	-0.062416	-0.312642	-0.199316	-0.238027	-0.089953	-0.550276	-0.529276	-0.316228	-0.067326	-0.041115	-0.315856	-0.131298	-0.033341	-0.264903	-0.409273	-0.278551	-0.313393	-0.079570	-0.400402	-0.156227	-0.203612	-0.131896	-0.562782	-0.108391	-0.403534	-0.195966
31.0000	0.032107	-0.339070	-0.336332	-0.115570	-0.673016	-0.301492	-0.351225	-0.161919	-0.216899	-0.219683	-0.147394	0.041127	-0.490426	-0.217720	-0.122711	0.040437	0.149920	-0.073284	-0.130348	-0.293547	-0.149403	-0.325560	-0.220720	-0.131075	-0.114401	-0.155368	-0.568726	-0.114812	-0.147808	-0.056607	-0.142477	-0.326431	-0.019381	-0.397516	-0.104195	-0.162342	-0.178989	-0.095842	0.011172	-0.291250	-0.020953	-0.042735	-0.410328	-0.169746	-0.189428	-0.275713	-0.091651	-0.148033	-0.045753	-0.455244
32.0000	-0.250661	-0.301960	-0.235648	-0.206182	-0.076322	-0.397484	-0.332229	-0.111005	-0.101509	-0.353837	-0.191745	-0.119014	-0.434251	-0.177737	-0.258340	-0.259518	-0.114650	-0.204150	-0.229675	-0.403109	-0.303711	-0.190816	-0.259259	-0.379815	0.025913	-0.161896	-0.391399	-0.138825	-0.123591	-0.156137	-0.219572	-0.178670	-0.470865	-0.264315	-0.142661	-0.553370	-0.243977	-0.090416	-0.241743	-0.368733	-0.289396	-0.316844	-0.197225	-0.081844	-0.436013	-0.333585	-0.278116	-0.340615	-0.135830	-0.416571
33.0000	-0.410217	-0.108759	-0.274912	-0.453980	-0.512518	-0.175397	-0.411166	-0.619422	-0.362895	0.004286	-0.010199	-0.209768	-0.235149	-0.044686	-0.240629	-0.289284	-0.289877	-0.061413	-0.428202	-0.270062	-0.279061	-0.189613	-0.343693	-0.387201	-0.355112	-0.386653	0.020164	-0.297920	-0.226174	-0.238364	-0.280294	-0.239703	-0.255725	-0.360220	-0.254429	-0.320101	-0.275826	-0.218916	-0.287948	-0.316334	-0.532020	-0.405256	-0.163160	-0.085889	-0.304005	-0.171212	-0.113975	-0.355889	-0.248485	-0.344061
34.0000	-0.131122	-0.036621	-0.079336	-0.166678	-0.308870	-0.246405	-0.208444	-0.020808	-0.578738	-0.236617	-0.410547	-0.468604	-0.055208	-0.267011	-0.243524	-0.090353	-0.300429	-0.211194	0.026462	-0.208147	-0.066424	-0.298447	-0.113607	-0.336327	-0.049457	-0.155775	-0.146706	-0.193780	-0.303238	-0.320545	-0.141599	-0.297727	-0.132396	0.023638	-0.336398	-0.399596	-0.204874	0.108255	-0.434384	-0.421409	-0.263999	-0.132200	-0.094738	-0.273577	-0.246846	-0.418571	-0.345715	-0.382806	-0.254456	-0.251032
35.0000	-0.440591	-0.203163	-0.219302	-0.150455	-0.425415	-0.527826	-0.277175	-0.285383	-0.219129	-0.137290	-0.221401	-0.227161	-0.210487	-0.345951	-0.280001	-0.197136	-0.147275	-0.431032	-0.110754	-0.355818	-0.376780	-0.650337	-0.276824	-0.358529	-0.174351	-0.314538	-0.193558	-0.262729	-0.267449	-0.336814	-0.251836	-0.230013	-0.588031	-0.332458	-0.459912	-0.303819	-0.145000	0.039633	-0.190310	-0.511588	-0.269253	-0.334999	-0.166700	-0.161183	-0.152980	-0.518583	-0.006328	-0.244146	-0.341057	-0.307731
36.0000	-0.229112	-0.173244	-0.209801	-0.253389	-0.454644	-0.357421	-0.383909	-0.375744	-0.112141	0.056189	-0.533177	-0.228200	-0.351417	-0.133799	-0.081685	-0.286769	-0.158864	-0.460411	-0.254797	-0.295798	-0.066314	-0.454020	-0.229031	-0.105965	-0.459246	-0.382961	-0.285467	-0.388531	-0.195422	-0.421802	-0.169417	-0.409170	-0.421442	-0.182224	-0.047414	-0.277120	-0.169056	-0.471359	-0.178772	-0.365549	-0.080686	-0.259502	-0.157520	-0.317906	-0.322814	-0.207467	-0.280919	-0.497568	-0.219929	-0.213846
37.0000	-0.557382	-0.357887	-0.325213	-0.079956	-0.089308	-0.696672	-0.288059	-0.289627	-0.466149	-0.386042	-0.574494	-0.293228	-0.195046	-0.289673	-0.275989	-0.359542	-0.236052	-0.496159	-0.304457	-0.404351	-0.301238	-0.170478	-0.347575	-0.198072	-0.652858	-0.265199	-0.441785	-0.069863	-0.564268	-0.328150	-0.119084	-0.247640	-0.277261	-0.177442	-0.174615	-0.103479	-0.313211	-0.517226	-0.427606	-0.169538	-0.261281	-0.151402	-0.475203	-0.401893	-0.124251	-0.412709	-0.196023	-0.397022	-0.100218	-0.117111
38.0000	-0.465661	-0.134920	-0.339574	-0.368948	-0.336588	-0.222443	-0.195934	-0.489187	-0.165900	-0.201082	-0.278684	-0.171488	-0.335297	-0.426918	-0.434365	0.282222	-0.264801	-0.167126	-0.236632	-0.098547	-0.153034	-0.586059	-0.040092	-0.182765	-0.386137	-0.487960	-0.014765	-0.258153	-0.135493	-0.584446	-0.348817	-0.243843	-0.356019	-0.440434	-0.372434	-0.222148	-0.217716	-0.147076	-0.287475	-0.231323	-0.329671	0.036731	-0.043899	-0.306857	-0.438086	-0.246675	-0.333505	-0.335256	-0.371907	-0.416327
39.0000	-0.239914	-0.186683	-0.334327	-0.345922	-0.217468	-0.226948	0.017764	-0.112252	-0.167898	-0.447330	-0.187936	-0.101157	-0.373633	-0.459146	-0.328473	-0.215175	-0.185283	-0.091154	-0.191815	-0.313612	-0.256429	-0.091816	-0.328188	-0.240693	-0.225591	-0.129747	-0.392925	0.037863	0.094486	-0.379853	-0.394755	-0.494900	-0.238072	-0.283959	-0.161503	-0.056768	-0.197452	-0.064638	-0.319771	-0.457934	-0.112685	-0.190123	-0.300907	-0.280885	-0.259013	-0.287933	-0.404013	-0.111138	-0.499452	-0.413634
40.0000	-0.161689	-0.378978	-0.213291	-0.645151	-0.279497	-0.391451	-0.120649	-0.322768	-0.613483	-0.220724	-0.027859	-0.395219	-0.445613	-0.043064	-0.245655	-0.109794	-0.533714	0.004946	-0.577409	-0.054545	0.062520	-0.117035	-0.261255	-0.236643	-0.206857	-0.280802	-0.163062	-0.516283	-0.200409	-0.319099	-0.530843	-0.123105	-0.051887	-0.091810	-0.282992	-0.377385	-0.423538	-0.306173	-0.234062	-0.333361	-0.254340	-0.241693	-0.117509	-0.521696	-0.287101	-0.233302	-0.533598	-0.292284	-0.166976	-0.252155
41.0000	-0.249771	-0.543627	-0.338624	-0.137503	-0.203921	-0.194460	-0.618099	-0.386271	-0.415920	-0.010620	0.087492	-0.400574	-0.538251	-0.255730	-0.091094	-0.428918	-0.331168	-0.149011	0.041376	-0.046164	-0.408586	-0.269312	-0.120227	-0.512749	-0.284339	-0.280539	-0.470582	-0.358993	-0.317616	-0.183995	-0.257093	-0.407692	-0.403396	-0.406462	-0.318543	-0.488038	-0.250242	-0.350806	-0.443364	-0.171607	-0.387980	-0.443643	-0.481902	-0.146427	-0.502806	-0.309539	-0.157621	-0.124598	-0.226822	-0.287781
42.0000	-0.295841	-0.461579	-0.235027	-0.231414	-0.266970	-0.470868	-0.242597	-0.303702	-0.337868	-0.372676	-0.080514	-0.299387	-0.336982	-0.366928	-0.188029	-0.365191	-0.525523	-0.104068	-0.396976	-0.290650	-0.364486	-0.188804	-0.236487	-0.159366	-0.286013	-0.291568	-0.310796	-0.273597	-0.302679	-0.284482	-0.210679	-0.264947	-0.270952	-0.154148	-0.213212	-0.060207	-0.602689	-0.401537	-0.090701	-0.345767	-0.105244	-0.103090	-0.314706	-0.693592	-0.285650	-0.195766	-0.219181	-0.250357	-0.446523	-0.166989
